player_id,gamer_tag,favorite_game,player_rank,matches_played,win_rate_percent,average_ping_ms,total_playtime_hours,toxicity_reports,preferred_region,hardware_type,account_creation_date
GLB-000061,Player60,Valorant,Platinum,1390,39.9,87,796.4,0,Asia,PC,06/04/2023
GLB-000062,Player61,Counter-Strike 2,Global Elite,1666,54.2,9999,572.7,2,Asia,PC,"November 19, 2019"
GLB-000063,Player62,League of Legends,Platinum,3742,71.2,60,1386.1,1,South America,Mobile,"March 20, 2019"
GLB-000064,Player63,PES 2021,gümüş,610,30.5,94,671.7,0,EU East,Mobile,09/08/2023
GLB-000065,Player64,League of Legends,Silver,4441,59.8,90,475.1,0,Asia,PC,2023-11-28
GLB-000066,Player65,PES 2021,Silver,2883,56.2,103,143.2,2,NA,Mobile,2021-12-16
GLB-000067,Player66,League of Legends,,4066,74.6,116,591.2,2,EU East,PC,"December 14, 2021"
GLB-000068,Player67,cs2,Bronze,4128,55.8,112,1958.6,1,South America,Mobile,12/07/2016
GLB-000069,Player68,Apex Legends,Global Elite,1944,41.6,115,2943.8,0,Asia,Console,"May 10, 2018"
GLB-000070,Player69,Valorant,Silver,2716,41.5,118,2923.2,3,EU East,Console,"December 09, 2022"
GLB-000071,Player70,PES 2021,Global Elite,2732,48.0,67,1487.2,-1,EU West,PC,"October 10, 2019"
GLB-000072,Player71,PES 2021,Platinum,4728,58.5,13,503.6,0,Asia,PC,14/12/2015
GLB-000073,Player72,PES 2021,Bronze,4442,56.5,30,1812.5,0,NA,PC,20/08/2023
GLB-000074,Player73,Apex Legends,Diamond,3203,150.5,43,38.5,3,NA,PC,"May 25, 2019"
GLB-000075,Player74,Valorant,Bronze,1687,70.5,67,269.7,0,EU East,PC,"September 09, 2024"
GLB-000076,Player75,Valorant,Bronze,1138,65.6,,2008.2,0,NA,Console,01/12/2021
GLB-000077,Player76,Valorant,Global Elite,102,46.3,18,2738.8,1,South America,PC,"November 20, 2024"
GLB-000078,Player77,Counter-Strike 2,Diamond,2021,69.0,96,2652.5,0,Asia,PC,02/11/2023
GLB-000079,Player78,Apex Legends,Bronze,4810,68.5,17,186.0,0,South America,Console,"October 14, 2020"
GLB-000080,Player79,League of Legends,Bronze,,38.5,14,405.7,0,South America,PC,"February 05, 2017"
GLB-000081,,cs2,Gold,1298,65.5,19,1347.5,0,Asia,PC,2021-08-25
GLB-027234,Player81,PES 2021,Bronze,3538,%38,100,1621.3,0,NA,PC,07/07/2019
GLB-000083,Player82,Dota 2,Global Elite,2445,74.9,94,2407.4,0,South America,PC,26/09/2017
GLB-000084,Player83,League of Legends,Diamond,4461,58.1,64,2524.3,0,Asia,Console,"July 27, 2017"
GLB-000085,Player84,Apex Legends,Platinum,31,61.4,71,1184.7,0,NA,PC,2016-04-26
GLB-000086,Player85,PES 2021,Diamond,347,74.7,104,331.5,3,Asia,Console,2016-08-24
GLB-000087,Player86,PES 2021,Bronze,1727,42.7,83,1396.3,1,EU West,Console,"April 07, 2015"
GLB-000088,Player87,League of Legends,Silver,4951,47.9,28,14.5,0,EU West,PC,"May 17, 2024"
GLB-000089,Player88,Dota 2,Gold,1068,73.0,30,,0,NA,PC,2020-03-16
GLB-000090,Player89,Counter-Strike 2,Global Elite,3385,64.3,101,1881.4,0,EU West,PC,"January 19, 2020"
GLB-000091,Player90,Valorant,Silver,679,70.7,27,2685.5,0,Asia,Console,2021-05-24
GLB-000092,Player91,Counter-Strike 2,Bronze,2285,72.5,91,308.1,0,EU West,PC,2017-07-06
GLB-000093,Player92,Counter-Strike 2,Global Elite,4104,62.9,31,1509.9,1,EU West,PC,"November 28, 2023"
GLB-000094,Player93,Counter-Strike 2,Platinum,707,51.1,17,2450.4,0,EU West,Console,"October 01, 2020"
GLB-000095,Player94,Counter-Strike 2,Bronze,914,34.3,103,1245.2,0,South America,Console,"December 22, 2018"
GLB-013179,Player95,Apex Legends,Platinum,734 maç,39.1,118,1307.8,0,Asia,PC,10/01/2015
GLB-000097,Player96,Dota 2,Global Elite,1025,73.0,52,1158.7,0,South America,Console,22/05/2018
GLB-000098,Player97,PES 2021,Bronze,214,72.7,109,2875.6,0,South America,PC,2021-09-26
GLB-000099,Player98,PES 2021,Platinum,2439,34.5,23,3.8k,0,EU West,PC,2017-05-22
GLB-000100,Player99,Apex Legends,Silver,2256,32.0,40,1047.5,1,EU East,PC,"January 15, 2019"
GLB-013360,Player100,Dota 2,Bronze,1710,67.4,83,1309.8,0,NA,PC,28/09/2024
GLB-000102,Player101,cs2,Gold,4366,74.8,58,1817.7,0,South America,PC,2017-02-01
GLB-000103,Player102,Apex Legends,Silver,2642,49.3,101,1540.2,0,EU West,Mac,28/04/2024
GLB-000104,Player103,Apex Legends,Bronze,1775,58.7,21,1757.3,0,EU East,Console,27/11/2023
GLB-000105,Player104,PES 2021,Silver,2834,51.1,59,2681.8,0,EU West,PC,02/02/2021
GLB-000106,Player105,Apex Legends,Diamond,1919,63.6,67,2396.2,0,Asia,PC,"February 20, 2024"
GLB-000107,  NoobMaster380 ,Apex Legends,Gold,1981,41.2,69,15.1,0,Asia,PC,10/05/2015
GLB-000108,Player107,Apex Legends,Bronze,419,69.6,23,1192.6,0,Asia,PC,2023-12-04
GLB-000109,Player108,PES 2021,Platinum,543,65.6,,1822.2,0,South America,PC,2015-10-20
GLB-000110,Player109,League of Legends,Bronze,4515,52.3,114,1873.0,2,EU West,PC,"October 16, 2018"
GLB-000111,Player110,League of Legends,Silver,100,46.2,14,1299.6,0,EU East,Mobile,15/02/2021
GLB-000112,Player111,League of Legends,Diamond,118,49.5,109,3.0k,0,Asia,PC,"May 02, 2022"
GLB-000113,Player112,Apex Legends,Gold,1460,53.3,85,833.1,1,South America,Mobile,13/01/2021
GLB-000114,Player113,Dota 2,Bronze,3467,34.2,54,1920.5,0,North America,PC,2015-10-19
GLB-000115,Player114,Valorant,Diamond,589,40.6,80,2171.3,3,North America,Console,11/01/2018
GLB-000116,Player115,Dota 2,Diamond,2234,35.3,63,2216.9,0,EU West,PC,2021-04-22
GLB-000117,Player116,Counter-Strike 2,Diamond,604,42.0,110,957.1,5,EU West,PC,2016-12-30
GLB-000118,Player117,Dota 2,Platinum,262,70.3,15,2210.1,1,South America,PC,"February 17, 2022"
GLB-000119,Player118,Counter-Strike 2,Bronze,3561,61.2,51,2684.1,1,Asia,Console,"February 29, 2020"
GLB-000120,Player119,PES 2021,Global Elite,437,69.5,27,121.1,1,NA,PC,"April 05, 2018"
GLB-000121,Player120,Counter-Strike 2,Global Elite,537,33.1,89,901.2,0,Asia,Console,"June 14, 2019"
GLB-000122,Player121,Dota 2,Diamond,2131,54.8,89,514.2,0,EU East,Console,2021-02-23
GLB-000123,Player122,League of Legends,Bronze,2814,69.9,10,168.0,0,NA,Console,2023-12-01
GLB-000124,Player123,League of Legends,Gold,2657,34.5,109,2543.4,0,EU East,PC,"March 21, 2018"
GLB-000125,Player124,League of Legends,Bronze,4336,73.1,25,1368.0,None,Asia,Console,2022-07-23
GLB-000126,,League of Legends,Diamond,837,50.2,105,"2,506",1,EU West,Console,22/01/2022
GLB-000127,Player126,Apex Legends,Platinum,3838,62.3,10,2424.1,0,NA,PC,"May 25, 2019"
GLB-000128,Player127,Apex Legends,Silver,2195,42.1,91,1194.6,0,South America,Mobile,"November 11, 2017"
GLB-000129,Player128,Counter-Strike 2,Global Elite,376,64.9,21,2697.1,0,Asia,Console,"January 21, 2021"
GLB-000130,Player129,Dota 2,Global Elite,2429,58.6,113,2339.4,3,NA,PC,"January 31, 2020"
GLB-000131,Player130,Apex Legends,Silver,3810,49.1,56,631.3,0,EU East,Console,19/11/2015
GLB-000132,Player131,Valorant,Gold,-15,62.0,106,1222.9,None,South America,PC,2021-11-18
GLB-000133,Player132,Dota 2,Diamond,1030,43.9,68,2497.5,1,NA,PC,"February 24, 2017"
GLB-000134,Player133,cs2,Bronze,733 maç,41.3,58,2682.3,0,EU East,Console,2021-03-02
GLB-000135,Player134,Counter-Strike 2,Platinum,1512,%64,84,1401.8,0,NA,PC,2020-01-01
GLB-000136,Player135,Dota 2,Platinum,4587,72.2,46,892.9,2,South America,PC,"April 01, 2015"
GLB-000137,Player136,Valorant,Silver,1252,72.9,41,"6,275",0,Asia,PC,2017-03-08
GLB-000138,Player137,Dota 2,Diamond,176,31.2,13,2547.5,1,Asia,PC,2024-09-25
GLB-000139,Player138,League of Legends,Silver,949,48.2,96,657.3,0,South America,Console,"November 24, 2024"
GLB-000140,Player139,Counter-Strike 2,Diamond,2748,34.6,47,,1,Asia,Mobile,"July 25, 2023"
GLB-000141,Player140,PES 2021,Global Elite,774,35.8,24,302.8,2,South America,Console,2024-04-22
GLB-000142,Player141,League of Legends,Bronze,4832,68.0,95,1794.6,0,South America,Console,02/08/2024
GLB-000143,Player142,Dota 2,Platinum,1047,61.9,61,2368.6,0,South America,Console,"January 28, 2024"
GLB-000144,Player143,Dota 2,Gold,2365,55.3,58,2940.8,1,Asia,Mobile,2021-05-31
GLB-000145,Player144,Apex Legends,,3832,36.6,55,2983.0,0,NA,Mac,"November 29, 2016"
GLB-000146,Player145,League of Legends,Global Elite,4469,40.4,108,2798.3,1,South America,PC,"May 09, 2024"
GLB-000147,Player146,Counter-Strike 2,Global Elite,866,38.6,78,2011.1,2,EU West,Console,2017-10-29
GLB-000148,Player147,Counter-Strike 2,Gold,1054,51.6,61,2255.9,0,North America,Console,"December 03, 2021"
GLB-000149,Player148,Dota 2,Bronze,3972,60.7,16,1598.5,0,Asia,Console,2017-07-30
GLB-000150,Player149,Valorant,Global Elite,432,54.0,60 ms,246.1,0,EU East,Console,"January 13, 2018"
GLB-000151,Player150,Apex Legends,Bronze,648,60.7,118,543.5,0,South America,Console,"April 20, 2017"
GLB-000152,Player151,Counter-Strike 2,Diamond,1930,66.7,52,1649.3,0,South America,Console,2019-06-23
GLB-000844,Player152,Apex Legends,gümüş,2716,52.5,45,2858.0,0,Asia,Console,"May 01, 2015"
GLB-000154,Player153,Dota 2,Diamond,2453,38.5,5,,,South America,PC,"December 31, 2022"
GLB-000155,Player154,PES 2021,Gold,1985,52.6,51,2571.0,1,Asia,PC,07/05/2017
GLB-000156,Player155,Counter-Strike 2,gümüş,27,31.8,7,4.8k,1,Asia,Console,"July 20, 2019"
GLB-000157,Player156,Counter-Strike 2,gümüş,4563,35.2,50,2184.2,1,EU East,Console,01/05/2024
GLB-000158,Player157,Valorant,Bronze,1079,66.0,9,550.3,0,EU West,PC,08/08/2019
GLB-000159,Player158,League of Legends,Silver,1120,61.5,103,38.8,0,Asia,PC,2020-08-11
GLB-000160,  NoobMaster200 ,League of Legends,Diamond,227,62.0,72,1608.6,0,Asia,Console,2024-04-08
GLB-000161,Player160,League of Legends,Global Elite,3445,50.3,102,2915.6,0,EU East,Console,05/06/2024
GLB-000162,Player161,Counter-Strike 2,Gold,4464,34.3,112,1757.3,0,South America,Console,"March 12, 2023"
GLB-000163,Player162,Dota 2,Global Elite,1847,54.6,5,300.9,0,EU East,PC,16/01/2020
GLB-000164,Player163,Dota 2,Gold,3478,57.9,115,"6,897",0,Asia,Console,2023-06-04
GLB-000165,Player164,PES 2021,Bronze,4286,30.9,111,415.6,1,EU East,Console,"May 02, 2016"
GLB-000166,Player165,Counter-Strike 2,Platinum,3429,67.8,42,2108.5,0,EU East,PC,2021-08-19
GLB-000167,Player166,Valorant,Platinum,4844,44.1,77,2138.4,0,EU West,PC,09/09/2019
GLB-000168,Player167,Apex Legends,Silver,4001,37.0,109,2223.4,1,EU West,PC,2022-11-28
GLB-000169,Player168,Apex Legends,Platinum,2112,46.2,20,556.6,3,NA,Mobile,19/09/2018
GLB-000170,Player169,cs2,Platinum,630 maç,30.4,5,1494.1,0,South America,Console,07/08/2018
GLB-000171,Player170,cs2,Global Elite,2167,49.8,72,2603.0,1,EU East,PC,"March 08, 2015"
GLB-000172,,Valorant,Gold,736,64.5,87,2822.0,0,NA,Console,28/02/2018
GLB-000173,Player172,Apex Legends,Silver,4531,68.4,48,1931.9,0,NA,Console,2019-07-30
GLB-000174,Player173,Counter-Strike 2,Diamond,1775,54.1,87,1999.2,3,South America,PC,"July 19, 2016"
GLB-000175,Player174,Valorant,Diamond,4241,51.9,52,2754.2,0,NA,Mobile,24/02/2019
GLB-000176,Player175,League of Legends,Bronze,3493,57.0,90,,0,EU West,PC,2023-08-12
GLB-000177,Player176,Valorant,Gold,1704,39.1,8,2355.1,3,South America,Console,"February 16, 2016"
GLB-000178,Player177,Valorant,Diamond,1742,55.4,87,188.7,0,Asia,PC,16/10/2016
GLB-000179,Player178,League of Legends,Global Elite,3306,50.5%,9999,"1,226",10,NA,PC,"June 01, 2015"
GLB-000180,Player179,Apex Legends,Global Elite,3822,52.8,26,2103.3,0,Asia,Console,04/07/2017
GLB-000181,Player180,Apex Legends,Global Elite,3535,48.4,70,"7,597",0,NA,Mobile,03/10/2016
GLB-000182,Player181,Counter-Strike 2,Platinum,606,35.7,117,1924.2,0,NA,PC,03/06/2024
GLB-000183,Player182,Counter-Strike 2,Diamond,1108,50.1,33,1292.9,0,EU East,Mobile,"December 12, 2023"
GLB-000184,Player183,Dota 2,Diamond,3257,43.6,38,806.1,3,EU East,PC,"July 01, 2018"
GLB-000185,Player184,Valorant,Diamond,157,33.2,,1479.5,0,EU East,Console,"August 15, 2019"
GLB-000186,Player185,League of Legends,Global Elite,2067,37.4,27,1575.4,0,Asia,PC,18/03/2021
GLB-000187,Player186,PES 2021,Global Elite,3707,49.8%,67,143.4,0,EU East,Console,15/02/2017
GLB-000188,Player187,PES 2021,Global Elite,3174,31.8,85,298.7,0,South America,PC,"April 23, 2024"
GLB-000189,Player188,Valorant,Silver,679,57.6,9999,2598.7,1,EU West,PC,03/09/2020
GLB-000190,Player189,League of Legends,Platinum,1561,59.3,8,"8,158",0,EU West,PC,23/10/2023
GLB-026045,Player190,Counter-Strike 2,Global Elite,1878,74.2,,2360.7,0,EU West,PC,2016-04-16
GLB-000192,Player191,Valorant,Global Elite,4290,54.4%,76,2997.0,0,EU West,PC,31/01/2022
GLB-000193,Player192,Apex Legends,Silver,Yok,57.1,119,2819.5,0,South America,PC,"February 26, 2015"
GLB-000194,Player193,Valorant,Bronze,2435,150.5,114,1882.8,0,NA,PC,2016-04-12
GLB-000195,Player194,Valorant,Platinum,2125,31.9,77,1069.9,1,EU West,Console,"May 22, 2023"
GLB-000196,Player195,PES 2021,Diamond,4345,35.8,9,1660.3,0,South America,PC,2015-04-09
GLB-000197,Player196,Valorant,gümüş,409,43.0,99,2894.2,0,Asia,PC,15/03/2022
GLB-000198,Player197,Apex Legends,Bronze,681,51.9,54 ms,2418.4,1,Asia,Console,24/12/2021
GLB-000199,Player198,Counter-Strike 2,,2677,39.3,35,1972.8,0,North America,PC,22/03/2023
GLB-000200,Player199,PES 2021,Global Elite,738,38.4,112,2879.8,0,NA,PC,03/06/2019
GLB-000201,Player200,Apex Legends,Global Elite,1632,60.6,21,16.0,0,NA,PC,2020-01-12
GLB-000202,Player201,Dota 2,Platinum,4109,40.1,28,183.2,0,NA,Console,31/01/2017
GLB-011704,Player202,Apex Legends,Global Elite,4514,48.0,98,656.3,0,Asia,Console,25/09/2022
GLB-000204,Player203,Apex Legends,Gold,Yok,33.1,103,1025.1,1,EU East,PC,"February 11, 2015"
GLB-000205,Player204,Apex Legends,Platinum,1701,49.3,45,1172.5,1,EU West,Console,2022-04-29
GLB-022669,Player205,Apex Legends,Silver,3050,58.6,107,757.0,0,South America,PC,30/10/2024
GLB-000207,Player206,Counter-Strike 2,Gold,2432,42.5,73,1680.7,-1,EU East,PC,"October 20, 2024"
GLB-000208,Player207,PES 2021,Silver,2882,46.2,52,2901.7,-1,EU East,PC,"September 22, 2022"
GLB-000209,Player208,League of Legends,Global Elite,4010,35.0,23,849.1,0,NA,PC,2023-06-15
GLB-000210,Player209,Apex Legends,Global Elite,1462,49.1,13,646.7,0,South America,Console,2016-12-26
GLB-000211,Player210,Valorant,Platinum,1931,68.1,83,1261.0,0,Asia,Console,2019-04-18
GLB-000212,Player211,Dota 2,Global Elite,2541,66.7,100,843.5,0,EU East,PC,2023-09-24
GLB-000213,Player212,Dota 2,Bronze,3031,32.9,53,2013.7,0,South America,Mac,"April 08, 2017"
GLB-000214,Player213,Dota 2,Global Elite,900,74.7,74,1094.1,0,South America,PC,"April 01, 2017"
GLB-000215,Player214,PES 2021,Silver,4256,37.7,47,1995.2,0,NA,Console,"January 03, 2020"
GLB-000216,Player215,League of Legends,Bronze,120,53.0,29,1651.1,3,EU West,PC,2021-11-12
GLB-000217,Player216,Dota 2,Bronze,2180,36.1,13,2013.1,0,EU West,PC,"September 05, 2024"
GLB-016402,Player217,Valorant,Global Elite,3286,73.0,48,13.0,0,EU East,PC,"February 21, 2018"
GLB-000219,Player218,cs2,Global Elite,1976,55.4,74,190.9,2,Asia,Mobile,2022-05-02
GLB-000220,Player219,League of Legends,Silver,230,34.8,66,2348.2,0,South America,PC,"October 29, 2018"
GLB-000221,Player220,League of Legends,Gold,1356,54.9,17,1267.6,0,NA,Console,2022-04-06
GLB-000222,Player221,Valorant,Global Elite,1302,57.3,39,2770.8,2,EU East,PC,2015-10-30
GLB-000223,Player222,PES 2021,Silver,1336,63.1,110,2821.3,0,South America,Console,"October 17, 2024"
GLB-000224,Player223,PES 2021,Global Elite,3104,52.3,107,2727.0,0,EU East,Console,05/05/2024
GLB-000225,Player224,Apex Legends,Bronze,Yok,44.2,119,1486.0,0,EU West,PC,2017-05-22
GLB-000226,Player225,Counter-Strike 2,Global Elite,1006,36.1,59,2961.2,0,EU West,Console,"January 20, 2015"
GLB-000227,Player226,Valorant,Silver,2653,35.8,43,2879.5,0,Asia,PC,2018-02-20
GLB-000228,Player227,Apex Legends,Platinum,109 maç,74.6,44,2131.6,1,Asia,Mobile,"July 14, 2023"
GLB-000229,Player228,Valorant,Diamond,3176,50.3,79,2653.4,0,EU East,Console,2017-03-03
GLB-000230,Player229,Apex Legends,Diamond,4417,37.9,56,1695.3,2,EU West,Console,2018-05-11
GLB-000231,Player230,PES 2021,Platinum,3824,45.2,118,995.3,3,Asia,PC,30/10/2019
GLB-000232,Player231,Apex Legends,Bronze,2779,58.3,28,1207.9,0,EU East,Console,20/11/2022
GLB-000233,Player232,Valorant,Bronze,1898,41.3,10,2561.9,5,EU West,PC,04/02/2018
GLB-000234,Player233,Dota 2,Global Elite,3398,56.0,117,1251.7,1,EU East,PC,"April 02, 2017"
GLB-000235,Player234,Counter-Strike 2,Bronze,477,51.5,87,2918.3,0,Asia,PC,22/06/2024
GLB-000236,Player235,Dota 2,Diamond,4147,68.6,18,1990.0,0,EU East,Console,2022-10-03
GLB-000237,Player236,League of Legends,Platinum,2180,31.4,35,502.4,0,EU East,Console,2020-09-16
GLB-000238,Player237,Dota 2,Silver,391,48.6,99,1164.6,0,EU West,Console,"May 19, 2020"
GLB-000239,Player238,League of Legends,Platinum,4961,64.5,26,133.4,0,Asia,PC,"June 04, 2019"
GLB-000240,Player239,PES 2021,Silver,2731,46.7,22,2032.8,3,South America,PC,"December 20, 2020"
GLB-000241,Player240,Apex Legends,Global Elite,3402,57.7,25,810.7,0,South America,PC,2017-01-20
GLB-000242,Player241,PES 2021,Gold,1029,64.9,103,1415.5,0,EU East,PC,"November 29, 2022"
GLB-000243,Player242,League of Legends,Silver,2151,49.9,95,1202.3,0,North America,Mobile,25/10/2024
GLB-000244,Player243,League of Legends,Platinum,3443,62.9,79,1530.7,5,EU West,PC,2020-07-30
GLB-000245,Player244,Counter-Strike 2,Bronze,929 maç,33.6,26,1305.0,0,EU East,PC,11/09/2018
GLB-000246,Player245,PES 2021,Bronze,3441,61.8,71,644.5,0,Asia,Console,29/01/2019
GLB-000247,Player246,Apex Legends,Silver,479,69.3,31,1350.2,2,South America,PC,18/01/2017
GLB-000248,Player247,Apex Legends,Global Elite,4592,58.4%,51,355.1,0,South America,Console,"January 18, 2022"
GLB-000249,Player248,Counter-Strike 2,Bronze,3634,37.6,23 ms,354.1,0,EU East,Console,23/11/2015
GLB-000250,Player249,Apex Legends,Global Elite,1485,58.7,33,1866.2,0,NA,Mobile,14/05/2024
GLB-000251,Player250,PES 2021,Gold,778,47.7,31,796.6,1,NA,Mobile,14/11/2022
GLB-000252,Player251,PES 2021,Bronze,1392,64.9,79,661.8,2,NA,PC,"March 22, 2015"
GLB-000253,Player252,PES 2021,Platinum,2916,%64,13,1295.0,0,Asia,PC,"August 30, 2024"
GLB-000254,Player253,Dota 2,Diamond,160,37.1,23,1684.3,1,EU West,PC,2022-05-29
GLB-000255,Player254,Dota 2,Silver,1562,72.4,62,912.2,1,South America,PC,2015-12-24
GLB-021693,Player255,cs2,Diamond,2519,63.9,86,2947.6,2,NA,PC,"July 19, 2019"
GLB-000257,Player256,League of Legends,Gold,3251,46.1,90,2435.1,0,South America,Mobile,2022-09-29
GLB-000258,Player257,League of Legends,Silver,4239,34.0,35,1144.3,,EU West,Console,2019-06-25
GLB-000259,Player258,PES 2021,Diamond,4371,36.3,54,897.6,0,South America,PC,2023-01-23
GLB-000260,Player259,Apex Legends,Gold,4891,37.3,86,304.2,0,EU West,PC,23/06/2022
GLB-000261,Player260,cs2,Gold,2588,45.2,64,289.4,0,South America,Console,"November 20, 2016"
